graphNum,attemptNum,lengthOfPathk=1,lengthOfShortestPath,lengthOfPathk=2,backsteps_SP,backsteps_k=2,shortcutsTakenk=2,shortcutstakenSP
0,1,7,5,11,2,2,0,0
0,0,7,3,3,1,1,0,0
0,1,7,3,3,1,1,0,0
0,0,17,5,5,1,1,0,0
0,1,17,5,5,1,1,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,7,7,7,1,1,0,0
0,1,7,7,7,1,1,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,14,5,10,3,3,0,0
0,1,14,5,10,3,3,0,0
0,0,8,5,6,1,1,0,0
0,1,8,5,6,1,1,0,0
0,0,12,8,12,1,1,0,0
0,1,12,8,12,1,1,0,0
0,0,9,4,8,0,0,0,0
0,1,9,4,8,0,0,0,0
0,0,17,5,5,1,1,0,0
0,1,17,5,5,1,1,0,0
0,0,5,5,5,0,0,0,0
0,1,5,5,5,0,0,0,0
0,0,1,1,1,0,0,0,0
0,1,1,1,1,0,0,0,0
