graphNum,attemptNum,lengthOfPathk=1,lengthOfShortestPath,lengthOfPathk=2,backsteps_SP,backsteps_k=2,shortcutsTakenk=2,shortcutstakenSP
0,0,23,23,23,0,0,0,0
0,1,23,23,23,0,0,0,0
0,0,27,24,26,0,0,0,0
0,1,27,24,26,0,0,0,0
0,0,6,6,6,0,0,0,0
0,1,6,6,6,0,0,0,0
0,0,10,10,10,0,0,0,0
0,1,10,10,10,0,0,0,0
0,0,11,11,11,0,0,0,0
0,1,11,11,11,0,0,0,0
0,0,4,4,4,2,2,0,0
0,1,4,4,4,2,2,0,0
0,0,29,22,25,0,0,0,0
0,1,29,22,25,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
0,0,8,8,8,0,0,0,0
0,1,8,8,8,0,0,0,0
0,0,17,13,16,1,1,0,0
0,1,17,13,16,1,1,0,0
0,0,17,17,19,0,0,0,0
0,1,17,17,17,0,0,0,0
0,0,7,5,7,0,0,0,0
0,1,7,5,7,0,0,0,0
0,0,15,11,13,0,0,0,0
0,1,15,11,13,0,0,0,0
0,0,1,1,1,0,0,0,0
0,1,1,1,1,0,0,0,0
0,0,6,6,6,0,0,0,0
0,1,6,6,6,0,0,0,0
0,0,17,17,17,0,0,0,0
0,1,17,17,17,0,0,0,0
0,0,23,23,23,0,0,0,0
0,1,23,23,23,0,0,0,0
0,0,8,8,8,0,0,0,0
0,1,8,8,8,0,0,0,0
0,0,12,12,12,0,0,0,0
0,1,12,12,12,0,0,0,0
0,0,19,19,19,0,0,0,0
0,1,19,19,19,0,0,0,0
0,0,19,19,19,0,0,0,0
0,1,19,19,19,0,0,0,0
0,0,10,7,7,1,1,0,0
0,1,10,7,7,1,1,0,0
0,0,18,16,18,0,0,0,0
0,1,18,16,18,0,0,0,0
0,0,6,6,6,0,0,0,0
0,1,6,6,6,0,0,0,0
0,0,37,37,37,0,0,0,0
0,1,37,37,37,0,0,0,0
0,0,1,1,1,0,0,0,0
0,1,1,1,1,0,0,0,0
0,0,16,16,16,0,0,0,0
0,1,16,16,16,0,0,0,0
0,0,9,7,9,0,0,0,0
0,1,9,7,9,0,0,0,0
0,0,8,8,8,0,0,0,0
0,1,8,8,8,0,0,0,0
0,0,27,18,21,2,2,0,0
0,1,27,18,21,2,2,0,0
0,0,20,14,16,1,1,0,0
0,1,20,14,16,1,1,0,0
0,0,18,16,17,2,2,0,0
0,1,18,16,17,2,2,0,0
0,0,1,1,1,0,0,0,0
0,1,1,1,1,0,0,0,0
0,0,5,5,5,0,0,0,0
0,1,5,5,5,0,0,0,0
0,0,4,4,4,0,0,0,0
0,1,4,4,4,0,0,0,0
0,0,5,5,5,0,0,0,0
0,1,5,5,5,0,0,0,0
0,0,17,17,17,0,0,0,0
0,1,17,17,17,0,0,0,0
0,0,27,20,23,0,0,0,0
0,1,27,20,23,0,0,0,0
0,0,27,24,24,0,0,0,0
0,1,27,24,24,0,0,0,0
0,0,4,4,5,0,0,0,0
0,1,4,4,5,0,0,0,0
0,0,17,15,17,0,0,0,0
0,1,17,15,17,0,0,0,0
0,0,32,23,28,2,2,0,0
0,1,32,23,28,2,2,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,23,21,23,0,0,0,0
0,1,21,21,21,0,0,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,6,3,6,1,1,0,0
0,1,6,3,6,1,1,0,0
0,0,11,11,11,0,0,0,0
0,1,11,11,11,0,0,0,0
0,0,38,38,38,0,0,0,0
0,1,38,38,38,0,0,0,0
0,0,11,11,11,0,0,0,0
0,1,11,11,11,0,0,0,0
0,0,31,29,29,0,0,0,0
0,1,31,29,29,0,0,0,0
0,0,33,26,29,2,2,0,0
0,1,33,26,29,2,2,0,0
0,0,4,4,4,1,1,0,0
0,1,4,4,4,1,1,0,0
0,0,30,23,26,0,0,0,0
0,1,30,23,26,0,0,0,0
0,0,8,5,5,1,1,0,0
0,1,8,5,5,1,1,0,0
0,0,18,16,17,3,3,0,0
0,1,18,16,17,3,3,0,0
0,0,25,18,20,3,3,0,0
0,1,25,18,20,3,3,0,0
0,0,36,32,32,0,0,0,0
0,1,36,32,32,0,0,0,0
0,0,15,9,9,1,1,0,0
0,1,15,9,9,1,1,0,0
0,0,7,7,7,0,0,0,0
0,1,7,7,7,0,0,0,0
0,0,15,8,11,2,2,0,0
0,1,15,8,11,2,2,0,0
0,0,7,7,7,0,0,0,0
0,1,7,7,7,0,0,0,0
0,0,8,8,8,0,0,0,0
0,1,8,8,8,0,0,0,0
0,0,31,29,31,0,0,0,0
0,1,31,29,31,0,0,0,0
0,0,35,31,34,0,0,0,0
0,1,35,31,34,0,0,0,0
0,0,3,3,3,2,2,0,0
0,1,3,3,3,2,2,0,0
0,0,1,1,1,0,0,0,0
0,1,1,1,1,0,0,0,0
0,0,26,19,22,0,0,0,0
0,1,26,19,22,0,0,0,0
0,0,42,41,41,1,1,0,0
0,1,42,41,41,1,1,0,0
0,0,31,24,27,2,2,0,0
0,1,31,24,27,2,2,0,0
0,0,5,5,5,0,0,0,0
0,1,5,5,5,0,0,0,0
