graphNum,attemptNum,lengthOfPathk=1,lengthOfShortestPath,lengthOfPathk=2,backsteps_SP,backsteps_k=2,shortcutsTakenk=2,shortcutstakenSP
0,0,30,29,29,1,1,0,0
0,1,30,29,29,1,1,0,0
0,0,28,27,28,0,0,0,0
0,1,28,27,28,0,0,0,0
0,0,9,8,8,0,0,0,0
0,1,9,8,8,0,0,0,0
0,0,16,16,16,1,1,0,0
0,1,16,16,16,1,1,0,0
0,0,35,32,35,0,0,0,0
0,1,35,32,35,0,0,0,0
0,0,12,11,12,0,0,0,0
0,1,12,11,12,0,0,0,0
0,0,49,48,49,2,2,0,0
0,1,49,48,49,2,2,0,0
0,0,23,22,22,0,0,0,0
0,1,23,22,22,0,0,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,39,38,39,1,1,0,0
0,1,40,38,40,1,1,0,0
0,0,10,10,10,0,0,0,0
0,1,10,10,10,0,0,0,0
0,0,57,53,54,2,2,0,0
0,1,57,53,54,2,2,0,0
0,0,25,25,25,0,0,0,0
0,1,25,25,25,0,0,0,0
0,0,17,16,17,0,0,0,0
0,1,17,16,17,0,0,0,0
0,0,20,17,20,0,0,0,0
0,1,20,17,20,0,0,0,0
0,0,8,6,8,2,2,0,0
0,1,8,6,8,2,2,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,6,6,6,0,0,0,0
0,1,6,6,6,0,0,0,0
0,0,2,2,2,1,1,0,0
0,1,2,2,2,1,1,0,0
0,0,25,22,25,0,0,0,0
0,1,25,22,25,0,0,0,0
0,0,12,12,12,0,0,0,0
0,1,12,12,12,0,0,0,0
0,0,27,24,27,0,0,0,0
0,1,27,24,27,0,0,0,0
0,0,5,5,5,0,0,0,0
0,1,5,5,5,0,0,0,0
0,0,4,4,4,0,0,0,0
0,1,4,4,4,0,0,0,0
0,0,5,3,3,1,1,0,0
0,1,5,3,3,1,1,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,1,1,1,0,0,0,0
0,1,1,1,1,0,0,0,0
0,0,8,8,8,0,0,0,0
0,1,8,8,8,0,0,0,0
0,0,36,35,36,1,1,0,0
0,1,36,35,36,1,1,0,0
0,0,35,32,35,1,1,0,0
0,1,35,32,35,1,1,0,0
0,0,5,5,5,1,1,0,0
0,1,5,5,5,1,1,0,0
0,0,15,15,15,0,0,0,0
0,1,15,15,15,0,0,0,0
0,0,18,15,18,0,0,0,0
0,1,18,15,18,0,0,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,26,25,26,0,0,0,0
0,1,26,25,26,0,0,0,0
0,0,25,24,25,1,1,0,0
0,1,25,24,25,1,1,0,0
0,0,9,9,9,0,0,0,0
0,1,9,9,9,0,0,0,0
0,0,1,1,1,0,0,0,0
0,1,1,1,1,0,0,0,0
0,0,17,17,17,1,1,0,0
0,1,17,17,17,1,1,0,0
0,0,25,22,22,0,0,0,0
0,1,25,22,22,0,0,0,0
0,0,36,29,31,2,2,0,0
0,1,36,29,31,2,2,0,0
