graphNum,attemptNum,lengthOfPathk=1,lengthOfShortestPath,lengthOfPathk=2,backsteps_SP,backsteps_k=2,shortcutsTakenk=2,shortcutstakenSP
0,0,11,11,11,0,0,0,0
0,1,11,11,11,0,0,0,0
0,0,6,4,6,1,1,0,0
0,1,6,4,6,1,1,0,0
0,0,18,6,6,0,0,0,0
0,1,18,6,6,0,0,0,0
0,0,4,4,4,0,0,0,0
0,1,4,4,4,0,0,0,0
0,0,19,10,21,2,2,0,0
0,1,19,10,21,2,2,0,0
0,0,11,7,9,1,1,0,0
0,1,11,7,9,1,1,0,0
0,0,18,9,20,2,2,0,0
0,1,18,9,20,2,2,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,17,17,17,0,0,0,0
0,1,17,17,17,0,0,0,0
0,0,14,6,7,2,2,0,0
0,1,14,6,7,2,2,0,0
0,0,13,8,12,2,2,0,0
0,1,13,8,12,2,2,0,0
0,0,9,5,5,1,1,0,0
0,1,9,5,5,1,1,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,14,14,14,2,2,0,0
0,1,14,14,14,2,2,0,0
0,0,4,4,4,0,0,0,0
0,1,4,4,4,0,0,0,0
0,0,26,21,25,4,4,0,0
0,1,26,21,25,4,4,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,11,6,8,3,3,0,0
0,1,11,6,8,3,3,0,0
0,0,6,6,6,0,0,0,0
0,1,6,6,6,0,0,0,0
0,0,18,7,17,1,1,0,0
0,1,18,7,17,1,1,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,10,2,2,0,0,0,0
0,1,10,2,2,0,0,0,0
0,0,13,13,13,0,0,0,0
0,1,13,13,13,0,0,0,0
0,0,3,3,3,1,1,0,0
0,1,3,3,3,1,1,0,0
0,0,17,17,17,1,1,0,0
0,1,17,17,17,1,1,0,0
0,0,6,4,6,0,0,0,0
0,1,6,4,6,0,0,0,0
0,0,10,4,4,2,2,0,0
0,1,10,4,4,2,2,0,0
0,0,16,16,16,1,1,0,0
0,1,16,16,16,1,1,0,0
0,0,27,19,19,1,1,0,0
0,1,27,19,19,1,1,0,0
0,0,8,5,7,3,3,0,0
0,1,8,5,7,3,3,0,0
0,0,10,10,10,0,0,0,0
0,1,10,10,10,0,0,0,0
0,0,1,1,1,0,0,0,0
0,1,1,1,1,0,0,0,0
0,0,5,5,5,1,1,0,0
0,1,5,5,5,1,1,0,0
0,0,5,5,5,0,0,0,0
0,1,5,5,5,0,0,0,0
0,0,4,3,4,0,0,0,0
0,1,4,3,4,0,0,0,0
0,0,18,18,18,1,1,0,0
0,1,18,18,18,1,1,0,0
0,0,12,6,6,2,2,0,0
0,1,12,6,6,2,2,0,0
0,0,15,10,15,1,1,0,0
0,1,15,10,15,1,1,0,0
0,0,3,2,2,1,1,0,0
0,1,3,2,2,1,1,0,0
0,0,19,19,19,2,2,0,0
0,1,19,19,19,2,2,0,0
0,0,5,5,5,0,0,0,0
0,1,5,5,5,0,0,0,0
0,0,13,6,14,0,0,0,0
0,1,13,6,14,0,0,0,0
0,0,14,8,8,1,1,0,0
0,1,14,8,8,1,1,0,0
0,0,18,17,17,0,0,0,0
0,1,18,17,17,0,0,0,0
0,0,20,11,25,2,2,0,0
0,1,20,11,25,2,2,0,0
0,0,16,16,16,0,0,0,0
0,1,16,16,16,0,0,0,0
0,0,15,8,9,0,0,0,0
0,1,15,8,9,0,0,0,0
0,0,12,12,12,0,0,0,0
0,1,12,12,12,0,0,0,0
0,0,1,1,1,0,0,0,0
0,1,1,1,1,0,0,0,0
0,0,11,9,11,0,0,0,0
0,1,11,9,11,0,0,0,0
0,0,11,11,11,0,0,0,0
0,1,11,11,11,0,0,0,0
0,0,24,8,19,1,1,0,0
