graphNum,attemptNum,lengthOfPathk=1,lengthOfShortestPath,lengthOfPathk=2,backsteps_SP,backsteps_k=2,shortcutsTakenk=2,shortcutstakenSP
0,0,10,8,10,1,1,0,0
0,1,10,8,10,1,1,0,0
0,0,5,5,5,0,0,0,0
0,1,5,5,5,0,0,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,7,4,4,2,2,0,0
0,1,7,4,4,2,2,0,0
0,0,8,7,8,0,0,0,0
0,1,8,7,8,0,0,0,0
0,0,6,6,6,0,0,0,0
0,1,6,6,6,0,0,0,0
0,0,14,6,10,3,3,0,0
0,1,14,6,10,3,3,0,0
0,0,7,5,5,1,1,0,0
0,1,7,5,5,1,1,0,0
0,0,10,4,4,1,1,0,0
0,1,10,4,4,1,1,0,0
0,0,4,4,4,0,0,0,0
0,1,4,4,4,0,0,0,0
0,0,14,4,12,1,1,0,0
0,1,14,4,12,1,1,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,12,8,12,2,2,0,0
0,1,12,8,12,2,2,0,0
0,0,9,7,7,0,0,0,0
0,1,7,7,9,0,0,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,6,5,5,2,2,0,0
0,1,6,5,5,2,2,0,0
0,0,6,4,6,0,0,0,0
0,1,6,4,6,0,0,0,0
0,0,10,8,10,1,1,0,0
0,1,10,8,10,1,1,0,0
0,0,12,6,7,2,2,0,0
0,1,12,6,7,2,2,0,0
0,0,6,6,6,1,1,0,0
0,1,6,6,6,1,1,0,0
0,0,10,6,10,1,1,0,0
0,1,10,6,10,1,1,0,0
0,0,8,7,8,2,2,0,0
0,1,8,7,8,2,2,0,0
0,0,11,6,8,3,3,0,0
0,1,11,6,8,3,3,0,0
0,0,9,6,9,1,1,0,0
0,1,9,6,9,1,1,0,0
0,0,6,6,6,1,1,0,0
0,1,6,6,6,1,1,0,0
0,0,7,7,7,0,0,0,0
0,1,7,7,7,0,0,0,0
0,0,13,8,11,0,0,0,0
0,1,13,8,11,0,0,0,0
0,0,11,7,8,1,1,0,0
0,1,11,7,8,1,1,0,0
0,0,9,7,8,3,3,0,0
0,1,9,7,8,3,3,0,0
0,0,9,2,2,1,1,0,0
0,1,9,2,2,1,1,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,8,6,7,1,1,0,0
0,1,8,6,7,1,1,0,0
0,0,9,5,9,3,3,0,0
0,1,9,5,9,3,3,0,0
0,0,6,4,6,2,2,0,0
