graphNum,attemptNum,lengthOfPathk=1,lengthOfShortestPath,lengthOfPathk=2,backsteps_SP,backsteps_k=2,shortcutsTakenk=2,shortcutstakenSP
0,0,22,20,20,1,1,0,0
0,1,22,20,20,1,1,0,0
0,0,5,5,5,0,0,0,0
0,1,5,5,5,0,0,0,0
0,0,8,8,8,0,0,0,0
0,1,8,8,8,0,0,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,1,1,1,0,0,0,0
0,1,1,1,1,0,0,0,0
0,0,21,8,15,2,2,0,0
0,1,21,8,15,2,2,0,0
0,0,12,12,12,0,0,0,0
0,1,12,12,12,0,0,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,43,35,41,3,3,0,0
0,1,43,35,41,3,3,0,0
0,0,8,8,8,0,0,0,0
0,1,8,8,8,0,0,0,0
0,0,19,19,19,0,0,0,0
0,1,19,19,19,0,0,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,7,5,6,1,1,0,0
0,1,7,5,6,1,1,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,4,4,4,0,0,0,0
0,1,4,4,4,0,0,0,0
0,0,32,26,28,1,1,0,0
0,1,32,26,28,1,1,0,0
0,0,18,13,16,1,1,0,0
0,1,18,13,16,1,1,0,0
0,0,5,4,5,1,1,0,0
0,1,5,4,5,1,1,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
0,0,5,4,4,1,1,0,0
0,1,5,4,4,1,1,0,0
0,0,15,6,6,1,1,0,0
0,1,15,6,6,1,1,0,0
0,0,15,15,15,0,0,0,0
0,1,15,15,15,0,0,0,0
0,0,15,9,15,1,1,0,0
0,1,15,9,15,1,1,0,0
0,0,8,4,8,0,0,0,0
0,1,8,4,8,0,0,0,0
0,0,31,31,32,0,0,0,0
0,1,31,31,32,0,0,0,0
0,0,6,6,6,0,0,0,0
0,1,6,6,6,0,0,0,0
0,0,8,8,8,0,0,0,0
0,1,8,8,8,0,0,0,0
0,0,12,12,12,0,0,0,0
0,1,12,12,12,0,0,0,0
0,0,10,6,6,0,0,0,0
0,1,10,6,6,0,0,0,0
0,0,14,11,12,0,0,0,0
0,1,14,11,12,0,0,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,15,6,13,2,2,0,0
0,1,15,6,13,2,2,0,0
0,0,28,28,29,0,0,0,0
0,1,28,28,29,0,0,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,4,4,4,0,0,0,0
0,1,4,4,4,0,0,0,0
0,0,12,6,12,1,1,0,0
0,1,12,6,12,1,1,0,0
0,0,22,14,15,3,3,0,0
0,1,22,14,15,3,3,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,16,10,11,2,2,0,0
0,1,16,10,11,2,2,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,15,9,10,2,2,0,0
0,1,15,9,10,2,2,0,0
0,0,4,4,4,0,0,0,0
0,1,4,4,4,0,0,0,0
0,0,13,7,7,2,2,0,0
0,1,13,7,7,2,2,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,7,6,7,3,3,0,0
0,1,7,6,7,3,3,0,0
0,0,20,19,20,0,0,0,0
0,1,20,19,20,0,0,0,0
0,0,17,12,17,1,1,0,0
0,1,17,12,17,1,1,0,0
0,0,23,20,21,1,1,0,0
0,1,23,20,21,1,1,0,0
0,0,1,1,1,0,0,0,0
0,1,1,1,1,0,0,0,0
0,0,30,27,29,2,2,0,0
0,1,30,27,29,2,2,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,17,7,14,3,3,0,0
0,1,17,7,14,3,3,0,0
0,0,26,10,21,5,5,0,0
0,1,26,10,21,5,5,0,0
0,0,31,13,22,5,5,0,0
0,1,31,13,22,5,5,0,0
0,0,6,6,6,0,0,0,0
0,1,6,6,6,0,0,0,0
0,0,17,12,17,1,1,0,0
0,1,17,12,17,1,1,0,0
0,0,33,29,29,1,1,0,0
0,1,33,29,29,1,1,0,0
0,0,20,12,20,3,3,0,0
0,1,20,12,20,3,3,0,0
0,0,13,7,8,1,1,0,0
0,1,13,7,8,1,1,0,0
0,0,20,12,20,3,3,0,0
0,1,20,12,20,3,3,0,0
0,0,20,12,20,3,3,0,0
0,1,20,12,20,3,3,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
0,0,25,16,18,5,5,0,0
0,1,25,16,18,5,5,0,0
0,0,6,5,6,2,2,0,0
0,1,6,5,6,2,2,0,0
0,0,10,10,10,0,0,0,0
0,1,10,10,10,0,0,0,0
0,0,26,12,13,4,4,0,0
0,1,26,12,13,4,4,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,8,7,8,3,3,0,0
0,1,8,7,8,3,3,0,0
0,0,4,4,4,1,1,0,0
0,1,4,4,4,1,1,0,0
0,0,10,8,8,0,0,0,0
0,1,10,8,8,0,0,0,0
0,0,18,10,11,3,3,0,0
0,1,18,10,11,3,3,0,0
0,0,21,19,20,1,1,0,0
0,1,21,19,20,1,1,0,0
0,0,12,10,10,0,0,0,0
0,1,12,10,10,0,0,0,0
0,0,4,4,4,0,0,0,0
0,1,4,4,4,0,0,0,0
0,0,8,5,5,1,1,0,0
0,1,8,5,5,1,1,0,0
0,0,9,5,9,1,1,0,0
0,1,9,5,9,1,1,0,0
0,0,2,2,2,0,0,0,0
0,1,2,2,2,0,0,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,29,29,30,0,0,0,0
0,1,29,29,30,0,0,0,0
0,0,17,12,17,1,1,0,0
0,1,17,12,17,1,1,0,0
0,0,18,12,17,2,2,0,0
0,1,18,12,17,2,2,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,15,9,15,1,1,0,0
0,1,15,9,15,1,1,0,0
0,0,11,6,7,0,0,0,0
0,1,11,6,7,0,0,0,0
0,0,26,20,23,1,1,0,0
0,1,26,20,23,1,1,0,0
0,0,22,6,7,3,3,0,0
0,1,22,6,7,3,3,0,0
0,0,5,5,5,0,0,0,0
0,1,5,5,5,0,0,0,0
0,0,4,4,4,0,0,0,0
0,1,4,4,4,0,0,0,0
0,0,4,3,4,1,1,0,0
0,1,4,3,4,1,1,0,0
0,0,10,4,5,1,1,0,0
0,1,10,4,5,1,1,0,0
0,0,3,3,3,0,0,0,0
0,1,3,3,3,0,0,0,0
0,0,42,32,35,2,2,0,0
0,1,42,32,35,2,2,0,0
0,0,10,6,10,1,1,0,0
0,1,10,6,10,1,1,0,0
0,0,36,34,35,5,5,0,0
0,1,36,34,35,5,5,0,0
0,0,10,4,4,1,1,0,0
0,1,10,4,4,1,1,0,0
0,0,35,31,33,2,2,0,0
0,1,35,31,33,2,2,0,0
0,0,14,5,15,0,0,0,0
0,1,14,5,15,0,0,0,0
0,0,4,4,4,0,0,0,0
0,1,4,4,4,0,0,0,0
